"id","fk_author","fk_article"
"1595","675","621"
"1596","676","621"
"1597","677","621"
"1598","678","621"
"1603","547","622"
"1604","680","622"
"1602","679","621"
"1605","586","623"
"1606","587","623"
"1607","285","625"
"1608","287","625"
"1610","340","626"
"1611","645","627"
"1612","682","627"
"1613","681","627"
"1614","683","627"
"1615","340","628"
"1616","601","629"
"1618","650","629"
"1619","570","630"
"1620","665","630"
"1621","556","631"
"1622","335","631"
"1623","366","632"
"1624","684","634"
"1625","685","635"
"1626","506","636"
"1627","335","636"
"1628","687","637"
"1629","686","637"
"1630","565","638"
"1631","380","638"
"1632","688","639"
"1633","429","640"
"1634","689","640"
"1635","340","641"
"1636","378","641"
"1637","539","642"
"1638","599","642"
"1639","690","646"
"1640","539","647"
"1641","599","647"
"1642","539","648"
"1643","599","648"
"1644","691","649"
"1645","692","650"
"1646","379","651"
"1647","380","651"
"1648","643","652"
"1658","696","658"
"1650","467","653"
"1651","575","653"
"1652","694","654"
"1653","380","654"
"1654","695","655"
"1655","366","656"
"1656","380","656"
"1657","693","652"
"1659","697","659"
"1660","698","659"
"1661","379","660"
"1662","380","660"
"1663","303","661"
"1664","598","661"
"1665","699","662"
"1666","398","662"
"1667","700","662"
"1668","570","663"
"1669","665","663"
"1670","565","664"
"1671","380","664"
"1672","701","665"
"1673","702","667"
"1674","340","668"
"1675","378","668"
"1676","703","669"
"1677","704","669"
"1678","705","669"
"1679","334","670"
"1680","706","670"
"1681","335","670"
"1682","707","671"
"1683","708","671"
"1684","709","671"
"1685","710","671"
"1686","711","671"
"1687","616","672"
"1688","712","672"
"1689","657","672"
"1690","467","673"
"1691","575","673"
"1692","366","675"
"1693","713","675"
"1694","579","676"
"1695","380","676"
"1696","714","677"
"1697","340","678"
"1698","378","678"
"1699","495","679"
"1700","496","679"
"1701","715","680"
"1702","716","680"
"1703","303","681"
"1704","598","681"
"1705","416","682"
"1706","380","682"
"1707","580","682"
"1708","717","683"
"1709","718","683"
"1710","719","684"
"1711","720","684"
"1712","694","685"
"1713","380","685"
"1714","629","686"
"1715","721","687"
"1716","726","687"
"1717","340","688"
"1718","285","689"
"1719","364","689"
"1720","722","689"
"1721","601","689"
"1722","723","689"
"1723","724","690"
"1724","727","690"
"1725","725","691"
"1726","728","691"
"1727","422","692"
"1728","340","693"
"1729","729","695"
"1730","334","696"
"1731","335","696"
"1732","730","697"
"1733","378","697"
"1734","303","698"
"1735","598","698"
"1736","731","699"
"1737","734","699"
"1738","732","700"
"1739","380","700"
"1740","733","701"
"1741","736","701"
"1742","539","702"
"1743","735","702"
"1744","340","703"
"1745","341","703"
"1746","737","704"
"1747","697","705"
"1748","698","705"
"1749","340","705"
"1750","416","706"
"1751","380","706"
"1752","506","707"
"1753","601","707"
"1754","340","708"
"1755","459","709"
"1756","380","709"
"1757","738","710"
"1758","380","710"
"1759","739","712"
"1760","340","713"
"1761","638","713"
"1762","740","713"
"1763","741","713"
"1764","742","714"
"1765","743","714"
"1766","358","714"
"1767","744","714"
"1768","745","714"
"1769","586","715"
"1770","711","715"
"1771","650","716"
"1772","746","716"
"1773","747","716"
"1774","694","718"
"1775","380","718"
"1776","565","719"
"1777","380","719"
"1778","748","720"
"1779","749","723"
"1780","750","724"
"1781","752","725"
"1782","753","725"
"1783","754","726"
"1784","755","726"
"1785","449","727"
"1786","756","727"
"1787","757","728"
"1788","758","728"
"1789","303","729"
"1790","598","729"
"1791","751","724"
"1792","385","730"
"1793","422","730"
"1794","493","730"
"1795","385","731"
"1796","378","731"
"1797","629","732"
"1798","759","732"
"1799","760","733"
"1800","761","733"
"1801","586","734"
"1802","762","734"
"1803","725","735"
"1804","665","735"
"1805","340","736"
"1806","697","736"
"1807","544","737"
"1808","763","738"
"1809","764","739"
